size,Triton,Torch
4096.0,8.0,8.0
8192.0,16.0,16.0
16384.0,32.0,32.0
32768.0,64.0,64.0
65536.0,128.0,109.7
131072.0,219.4,219.4
262144.0,384.0,384.0
524288.0,614.4,614.4
1048576.0,945.2,945.2
2097152.0,1228.8,1170.3
4194304.0,1404.3,1365.3
8388608.0,1585.5,1560.4
16777216.0,1680.4,1680.4
33554432.0,1724.6,1732.2
67108864.0,1767.3,1767.3
134217728.0,1783.3,1777.2
