N,Adam (PyTorch),Adam-Fused (Triton)
1.0,0.1,0.1
2.0,0.2,0.1
4.0,2.9,0.3
8.0,4.4,4.2
16.0,10.1,8.3
32.0,14.3,9.2
64.0,30.0,18.5
128.0,58.9,36.2
256.0,118.7,74.1
512.0,239.7,145.1
1024.0,482.7,291.5
2048.0,957.1,577.4
4096.0,1917.6,1154.0
