N,K,matmul_kernel_grouped,matmul_kernel_grouped_splitk,matmul_kernel_col_major
512.0,512.0,1.0,0.5,1.1
1024.0,1024.0,2.8,2.1,3.4
2048.0,2048.0,10.3,8.0,10.6
4096.0,4096.0,18.9,19.9,19.1
8192.0,8192.0,36.1,33.5,36.2
16384.0,16384.0,46.1,45.3,46.2
